yr_arrvl_of_prsns_brn_ovrss_cnss_arrvd_wthn_5_yrs_pc, age_of_persons_born_overseas_census_5_9_years_num, lbr_frce_stts_prsns_brn_ovrss_cnss_ttl_ppltn_agd_15_yrs_nm, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_indqtly_dscrb_std_pc, age_of_persons_born_overseas_census_10_14_years_num, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ernng_nl_pc, population_of_persons_born_overseas_census_males_num, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_erng_1000_1999_pr_wk_pc, lbr_frce_stts_prsns_brn_ovrss_cnss_prtcptn_rte_pc, age_of_persons_born_overseas_census_35_39_years_num, age_of_persons_born_overseas_census_45_49_years_num, occupation_of_persons_born_overseas_census_managers_pc, yr_arrvl_of_prsns_brn_ovrss_cnss_arrvd_10_yrs_ago_pc, rlgs_affltn_prsns_brn_ovrss_cnss_sprtl_blfs_pc, age_of_persons_born_overseas_census_80_84_years_num, lbr_frce_stts_prsns_brn_ovrss_cnss_unmplymnt_rte_pc, age_of_persons_born_overseas_census_25_29_years_num, rlgs_affltn_prsns_brn_ovrss_cnss_chrstnty_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_bchlr_dgre_pc, englsh_prfcncy_prsns_brn_ovrss_cnss_prfcnt_pc, age_of_persons_born_overseas_census_40_44_years_num, lv_hgst_edctnl_atnm_of_prsn_brn_ovrs_cns_grdte_dplma_crtfe_pc, occupation_of_persons_born_overseas_census_labourers_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_schl_edctn_pc, occptn_prsns_brn_ovrss_cnss_mchnry_oprtrs_drvrs_pc, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ernng_1_499_pr_wk_pc, age_of_persons_born_overseas_census_75_79_years_num, lv_hgst_edctnl_atnm_of_prsn_brn_ovrs_cns_pstgrde_dgre_pc, age_of_persons_born_overseas_census_85_years_and_over_num, age_of_persons_born_overseas_census_60_64_years_num, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ngtve_pc, religious_affiliation_persons_born_overseas_census_judaism_pc, occptn_prsns_brn_ovrss_cnss_tchncns_trds_wrkrs_pc, ctznshp_st_prsn_brn_ovrs_cns_astrln_ctzn_pc, occupation_of_persons_born_overseas_census_professionals_pc, religious_affiliation_of_persons_born_overseas_census_islam_pc, age_of_persons_born_overseas_census_65_69_years_num, sa3_name_2016, year_arrival_of_persons_born_overseas_census_arrival_stated_pc, religious_affiliation_persons_born_overseas_census_buddhism_pc, citizenship_status_persons_born_overseas_census_stated_pc, age_of_persons_born_overseas_census_30_34_years_num, religious_affiliation_persons_born_overseas_census_religion_pc, labour_force_status_persons_born_overseas_census_employed_num, religious_affiliation_persons_born_overseas_census_hinduism_pc, age_of_persons_born_overseas_census_15_19_years_num, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_erng_2000_2999_pr_wk_pc, english_proficiency_persons_born_overseas_census_proficient_pc, age_of_persons_born_overseas_census_70_74_years_num, rlgs_affltn_prsns_brn_ovrss_cnss_rlgn_sclr_blfs_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_edctn_sttd_pc, occptn_prsns_brn_ovrss_cnss_indqtly_dscrbd_sttd_pc, age_of_persons_born_overseas_census_55_59_years_num, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ernng_3000_pr_wk_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_crtfcte_pc, occptn_prsns_brn_ovrss_cnss_clrcl_admnstrtve_wrkrs_pc, labour_force_status_persons_born_overseas_census_stated_pc, age_of_persons_born_overseas_census_0_4_years_num, age_of_persons_born_overseas_census_50_54_years_num, age_of_persons_born_overseas_census_20_24_years_num, occptn_prsns_brn_ovrss_cnss_cmmnty_prsnl_srvce_wrkrs_pc, population_of_persons_born_overseas_census_females_num, yr_arrvl_of_prsns_brn_ovrss_cnss_arrvd_5_10_yrs_ago_pc, labour_force_status_persons_born_overseas_census_num, english_proficiency_persons_born_overseas_census_stated_pc, lv_hgst_edctnl_atnm_of_prsn_brn_ovrs_cns_advnc_dplma_pc, occupation_of_persons_born_overseas_census_sales_workers_pc, population_of_persons_born_overseas_census_persons_num, yr, labour_force_status_persons_born_overseas_census_unemployed_num, labour_force_status_persons_born_overseas_census_pc, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_erng_500_999_pr_wk_pc, ctznshp_stts_prsns_brn_ovrss_cnss_astrln_ctzn_pc, sa3_code_2016, rlgs_affltn_prsns_brn_ovrss_cnss_indqtly_dscrbd_sttd_pc
15.5,152,4504,3.7,159,9.3,2313,24.2,60.0,396,337,13.7,65.1,0.1,154,6.0,314,62.1,19.3,4.8,367,2.0,11.7,30.5,4.9,30.6,254,7.4,164,343,0.4,0.1,12.9,38.7,28.9,2.3,372,"Orange",3.8,3.1,1.5,415,1.7,2540,4.6,141,5.4,94.5,313,21.6,5.9,1.5,383,4.0,14.1,9.3,1.3,31,390,150,10.8,2529,15.6,2702,0.7,9.5,6.5,4839,2016,162,38.7,22.3,59.7,"10304",3.9
7.6,71,3644,4.7,50,6.6,1773,13.5,42.0,167,238,12.8,79.5,0.3,142,9.4,94,58.1,13.4,2.0,214,1.8,11.2,35.3,3.7,46.3,275,3.6,151,394,0.6,0.2,12.7,30.7,23.4,0.7,547,"Clarence Valley",5.2,3.1,2.4,150,1.5,1387,1.2,51,2.6,96.7,383,29.2,8.6,1.6,439,1.9,19.0,12.3,1.4,19,352,39,15.9,2008,7.9,1531,1.5,9.6,5.8,3781,2016,144,56.5,23.9,66.8,"10401",5.2
15.3,300,10846,4.3,391,7.3,5463,16.1,52.2,701,809,16.1,68.0,0.5,448,7.3,630,49.1,14.7,7.1,774,1.9,18.1,34.7,3.5,38.0,643,4.3,437,970,0.9,0.2,11.1,36.8,22.8,3.4,1156,"Coffs Harbour",4.0,3.0,2.3,699,7.5,5252,1.4,385,2.7,91.9,863,30.0,5.8,1.7,971,2.5,15.3,9.7,1.8,115,980,379,11.6,6190,12.7,5665,1.0,10.8,5.5,11655,2016,413,45.9,28.3,61.0,"10402",4.5
14.6,35,1272,4.3,39,7.6,638,19.6,57.9,119,82,14.1,62.0,0.4,42,4.7,104,63.5,16.0,3.6,90,1.4,9.8,34.0,7.5,38.1,89,4.5,28,106,0.7,null,12.3,44.9,23.5,4.5,114,"Bourke - Cobar - Coonamble",4.8,3.1,1.7,107,0.8,702,4.2,28,4.7,95.7,101,18.9,8.3,1.4,97,3.6,15.1,8.1,2.3,8,134,36,14.2,719,18.5,737,1.0,10.5,9.3,1351,2016,35,39.5,20.7,53.4,"10501",3.8
15.5,30,854,7.4,17,9.6,440,18.6,50.9,62,71,10.6,64.7,0.3,37,6.9,57,60.3,17.5,3.8,62,1.9,12.3,31.4,3.0,36.9,42,5.2,26,84,0.4,null,15.3,38.2,35.8,2.2,78,"Broken Hill and Far West",6.3,2.9,4.8,70,1.2,405,3.7,18,4.7,91.9,83,22.5,8.6,1.2,63,2.8,16.3,7.2,1.9,9,78,25,11.6,468,13.4,435,4.5,8.5,3.5,910,2016,30,46.7,19.3,56.5,"10502",6.5
18.2,112,4205,5.5,126,9.9,2210,19.6,61.8,386,254,12.8,56.4,0.3,107,6.1,456,52.6,19.5,4.3,322,2.3,15.8,29.2,3.8,27.3,183,8.5,108,275,0.6,0.2,11.9,46.1,23.5,4.4,395,"Dubbo",6.1,5.0,3.7,493,2.1,2438,9.1,115,3.5,93.0,297,20.5,7.7,1.4,329,2.4,13.4,8.7,1.5,64,317,175,13.2,2298,19.3,2597,2.7,8.8,8.9,4509,2016,159,36.7,30.9,50.2,"10503",5.5
7.9,104,5472,5.6,124,8.6,2803,20.1,54.8,377,511,14.8,74.0,0.2,157,6.3,254,60.0,12.9,2.3,414,1.5,11.2,37.2,11.5,33.6,273,4.0,141,545,0.5,0.2,16.2,37.2,17.0,1.4,642,"Lower Hunter",6.3,3.3,3.2,349,0.8,2809,1.7,138,5.6,95.3,469,26.5,7.6,1.6,515,3.5,18.7,10.6,1.1,38,544,145,10.7,2938,12.0,2997,2.4,9.6,6.4,5744,2016,188,44.1,22.7,59.6,"10601",5.4
11.3,142,5524,3.1,185,9.8,2854,23.4,61.4,506,537,12.0,69.9,0.2,135,7.4,326,60.5,15.5,3.8,492,1.6,9.7,33.4,7.6,29.5,238,5.6,154,444,0.4,0.1,15.5,34.4,24.3,3.1,545,"Maitland",2.9,3.0,1.8,492,1.7,3139,4.3,177,5.8,95.4,330,22.7,4.4,1.4,453,3.6,18.0,11.5,0.9,56,531,167,11.0,3055,15.7,3390,0.7,10.7,6.8,5914,2016,251,37.8,24.2,63.8,"10602",3.9
6.3,138,7648,4.0,190,7.5,3894,18.0,44.6,387,554,14.3,79.9,0.1,383,6.6,209,65.2,11.8,1.8,465,1.3,10.6,35.4,5.7,39.5,647,3.6,313,737,0.5,0.2,17.0,27.8,18.8,0.8,1090,"Port Stephens",4.1,2.4,1.7,329,0.6,3184,0.9,162,3.7,97.4,926,25.5,7.1,1.7,678,2.1,19.9,12.4,1.5,48,642,126,12.8,4129,9.7,3408,0.8,11.3,7.0,8024,2016,224,53.9,24.8,70.6,"10603",3.8
20.3,64,2175,8.5,66,9.2,1203,20.5,62.8,222,178,14.4,54.9,0.3,52,5.7,206,60.5,15.2,4.3,160,1.1,22.2,35.9,8.4,27.0,70,4.2,36,164,0.9,0.1,18.9,48.6,15.5,2.3,156,"Upper Hunter",7.8,3.2,5.6,251,1.2,1288,3.3,53,6.0,91.1,113,21.4,9.4,1.3,162,3.9,15.2,6.4,1.4,20,227,110,9.0,1124,17.3,1366,4.7,9.2,4.3,2323,2016,78,35.8,24.3,45.9,"10604",7.3
6.4,194,15132,4.1,226,7.5,7449,14.8,38.9,739,1120,8.7,83.7,0.1,1084,6.9,396,71.3,7.4,13.4,806,0.7,15.2,46.7,9.4,48.3,1291,3.2,866,1516,0.6,null,15.2,25.0,18.1,5.3,1770,"Dapto - Port Kembla",4.4,2.4,2.8,552,0.4,5476,1.0,270,2.8,85.1,1435,15.1,8.4,1.8,1482,1.2,16.8,12.6,2.3,97,1508,285,11.8,8200,5.5,5880,1.5,6.8,7.0,15648,2016,404,58.8,20.7,72.1,"10701",3.9
5.1,152,13929,4.0,190,7.8,6797,18.4,45.4,632,1143,12.7,84.1,0.2,744,5.8,333,69.2,10.2,6.1,750,1.6,11.1,41.6,8.1,39.9,1092,3.6,683,1508,0.4,0.1,15.0,25.9,19.7,2.5,1739,"Kiama - Shellharbour",4.3,2.2,2.1,539,0.5,5950,0.9,211,4.2,93.2,1307,20.1,7.1,1.5,1573,2.2,18.9,12.2,2.0,61,1459,221,11.8,7542,6.5,6318,0.7,8.7,8.0,14338,2016,368,52.7,23.2,72.0,"10703",3.9
22.1,675,26632,2.9,588,14.3,13964,17.9,48.5,1906,1942,12.1,63.7,0.2,1164,9.7,2230,50.9,17.5,10.7,1790,1.8,9.0,34.8,4.5,36.2,1514,11.0,1089,1962,0.6,0.2,11.4,39.5,31.9,7.2,2095,"Wollongong",3.6,4.5,1.8,1840,0.7,11660,3.2,922,4.8,88.8,1723,28.8,4.6,1.6,1970,3.1,11.4,11.7,1.0,311,2121,2356,10.9,14248,10.6,12907,0.5,8.5,6.8,28211,2016,1247,50.5,20.2,58.7,"10704",3.8
4.7,23,3091,5.7,27,5.3,1552,12.5,34.1,114,163,13.4,85.3,0.3,190,6.8,51,65.4,10.7,1.8,122,1.0,12.1,39.5,3.8,48.1,354,3.0,189,288,0.5,0.3,15.3,28.6,21.4,0.4,523,"Great Lakes",4.8,2.3,1.9,94,0.6,981,0.7,28,1.6,97.4,436,25.5,9.6,2.2,264,1.3,19.3,11.1,1.8,5,227,35,13.0,1603,5.1,1053,0.8,10.1,6.9,3151,2016,72,64.0,25.3,69.8,"10801",4.3
6.9,34,3705,5.1,41,6.5,1825,12.9,39.4,160,225,13.3,81.4,0.3,176,7.9,120,55.4,13.0,2.1,179,1.5,13.5,36.4,5.5,47.3,292,3.6,166,446,0.6,0.2,12.2,29.4,23.6,0.6,558,"Kempsey - Nambucca",6.0,2.9,3.0,136,0.9,1345,1.2,42,1.7,96.1,435,31.0,8.3,1.1,384,1.3,19.2,9.8,2.1,31,334,49,15.4,1983,5.8,1460,1.7,10.1,6.0,3810,2016,115,58.4,24.3,67.3,"10802",6.8
11.7,null,57,null,null,5.3,30,31.6,66.7,7,4,31.6,63.3,null,3,null,5,45.0,8.3,null,3,null,18.4,31.7,null,17.5,7,6.7,null,null,null,null,28.9,40.0,10.5,null,3,"Lord Howe Island",6.7,null,null,10,null,38,null,null,null,90.0,3,40.0,5.0,null,null,null,15.0,7.9,5.3,null,5,3,10.5,29,5.0,38,5.0,6.7,null,60,2016,null,22.8,26.3,60.0,"10803",5.0
7.3,122,8586,4.9,186,5.8,4226,16.8,43.7,427,585,13.4,79.5,0.4,520,6.4,255,61.9,14.7,1.6,537,1.7,8.2,34.3,3.7,39.7,837,4.6,504,724,0.4,0.2,12.0,28.7,28.8,0.6,1062,"Port Macquarie",4.5,2.3,1.9,353,0.6,3511,1.7,173,3.5,97.6,1033,27.8,7.7,1.3,730,2.8,17.6,12.6,1.6,52,734,115,12.6,4720,8.7,3752,0.9,10.8,7.2,8945,2016,241,54.8,26.3,69.5,"10804",4.4
5.0,51,4399,4.0,66,6.1,2174,13.5,40.0,196,290,14.2,83.2,0.3,210,8.5,87,62.4,13.8,1.7,229,1.9,11.7,35.2,3.6,46.0,362,3.9,199,513,0.5,0.3,13.3,28.5,28.6,1.2,678,"Taree - Gloucester",4.1,3.0,1.9,133,0.6,1611,1.5,60,2.2,97.1,601,26.3,7.3,0.6,414,2.2,20.2,9.1,1.8,20,360,67,12.8,2359,7.7,1761,1.1,10.0,5.2,4535,2016,150,58.3,25.3,69.6,"10805",4.0
15.5,164,5695,3.8,206,8.6,2974,18.7,55.8,486,439,12.6,62.5,0.1,233,7.1,369,52.5,14.8,7.9,431,1.7,14.4,33.0,7.6,35.5,311,6.0,218,415,0.7,0.1,12.7,38.6,21.1,2.5,502,"Albury",3.2,4.7,1.9,529,3.9,2949,11.4,178,3.3,91.4,440,21.2,5.9,1.3,460,2.0,15.3,9.7,1.2,68,467,229,13.9,3160,18.8,3176,0.7,10.1,6.9,6131,2016,227,42.9,27.4,59.6,"10901",3.0
13.9,10,709,6.9,18,10.4,349,13.4,51.9,37,41,16.9,68.0,null,33,8.4,37,61.2,11.3,5.9,33,0.9,24.0,48.3,8.0,37.1,46,2.4,19,79,0.4,null,12.2,45.0,16.0,2.8,74,"Lower Murray",5.2,3.9,1.6,81,1.1,337,3.5,23,3.1,93.1,60,22.7,9.6,3.3,72,1.8,11.8,7.1,3.7,5,60,18,9.5,393,13.6,368,0.5,8.1,3.9,743,2016,31,44.1,26.5,52.8,"10902",4.6
14.7,66,2768,5.0,55,6.8,1420,16.3,48.6,144,165,17.5,70.0,0.1,129,5.0,191,62.8,11.1,4.0,147,1.0,21.4,42.9,3.8,41.4,251,3.2,114,233,0.6,0.1,11.5,40.6,17.9,1.3,363,"Upper Murray exc. Albury",6.0,3.4,1.3,178,1.3,1278,2.7,58,3.0,95.3,307,24.2,8.6,1.7,217,1.9,16.1,9.9,1.8,28,206,65,10.7,1499,9.1,1345,0.7,8.9,4.7,2918,2016,67,49.8,25.1,58.1,"10903",4.2
28.6,146,3751,2.1,141,14.8,1991,18.8,56.8,282,294,13.1,54.0,0.2,86,9.0,381,41.7,20.7,6.1,300,2.6,14.1,25.6,2.4,29.2,128,19.9,76,247,1.0,0.2,7.5,49.2,34.4,9.5,276,"Armidale",3.8,4.9,1.6,398,1.4,1940,6.1,188,5.1,93.5,206,31.5,3.0,0.9,258,2.5,8.7,8.7,0.9,76,285,340,14.1,2114,13.6,2132,0.5,8.0,4.9,4106,2016,192,42.1,26.5,49.4,"11001",3.8
11.4,36,2247,5.5,86,8.6,1116,11.3,45.2,135,152,18.6,71.8,0.1,93,7.6,100,61.9,13.1,3.9,155,1.4,24.3,35.9,3.1,44.4,156,3.2,65,230,0.9,0.3,10.3,36.0,18.0,0.9,311,"Inverell - Tenterfield",6.1,3.1,2.5,123,1.0,938,1.6,64,1.2,94.3,215,23.4,9.2,3.4,202,1.4,16.7,7.7,1.5,16,183,59,10.6,1266,10.7,1015,1.9,9.9,4.9,2384,2016,77,53.3,27.0,61.7,"11002",7.1
17.4,35,1151,4.2,30,7.6,609,25.6,68.4,114,91,19.6,60.1,null,28,5.2,90,64.1,17.1,4.0,94,1.9,13.0,34.1,7.5,27.5,49,5.7,18,98,1.0,null,12.7,44.4,20.8,2.7,94,"Moree - Narrabri",4.1,3.5,1.5,114,0.5,746,5.7,28,4.7,94.8,79,19.7,6.7,1.1,98,3.4,13.5,8.3,1.9,12,105,35,10.5,619,18.0,787,1.0,11.3,7.0,1226,2016,41,30.4,25.8,54.1,"11003",3.1
22.5,133,4679,4.3,124,8.8,2466,20.6,63.2,394,394,13.2,57.0,0.1,148,5.9,504,59.3,16.8,7.7,333,1.5,24.2,35.5,5.0,27.3,226,5.7,127,375,0.9,0.1,12.1,48.4,21.2,2.8,375,"Tamworth - Gunnedah",6.3,3.4,1.8,403,1.5,2781,4.1,168,4.0,91.4,289,24.9,6.3,1.9,335,2.8,14.0,8.1,1.6,59,384,233,9.1,2521,14.2,2955,0.9,9.8,5.4,4988,2016,174,35.1,31.2,50.0,"11004",3.3
